Genus_&_Specie,Time_(Ma),Location,Zone,Current_Country,Habitat,Cranial_Capacity_(cm³),Height_(cm),Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton,Cranial_Capacity_normalized,Height_normalized,Time_years,full_address,Latitude,Longitude
Australopithecus Bahrelghazali,4.19561829,Africa,central,Republic of Chad,mixed,182.72293,119.81039,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light,0.12615523969397707,0.6476886736480875,4195618.29,Republic of Chad,15.6134137,19.0156172
Australopithecus Afarensis,4.57006322,Africa,oriental,Kenya,mixed,261.63466,136.68159,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined,0.18063733568935328,0.7388934944557954,4570063.22,Kenya,1.4419683,38.4313975
Homo Ergaster,1.73257217,Africa,oriental,Kenya,savannah,770.09779,165.07137,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5316895437548644,0.8923671535713447,1732572.1700000002,Kenya,1.4419683,38.4313975
Homo Antecesor,1.50496883,Europa,west,Spain,savannah,917.9336,164.59947,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.6337580802319407,0.8898160869643956,1504968.8299999998,Spain,39.3260685,-4.8379791
hominino Ardipithecus ramidus / kabadda,4.50301733,Africa,oriental,Ethiopia,mixed,449.8352,110.25901,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light,0.310574417117699,0.5960544151859551,4503017.329999999,Ethiopia,10.2116702,38.6521203
Homo Rodhesiensis,0.31461552,Africa,oriental,Ethiopia,savannah,1102.4282,154.44619,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.7611365131699657,0.834927988725356,314615.51999999996,Ethiopia,10.2116702,38.6521203
Australopithecus Bahrelghazali,4.11191641,Africa,central,Republic of Chad,mixed,339.95063,127.29636,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light,0.2347081081272532,0.6881574341643446,4111916.41,Republic of Chad,15.6134137,19.0156172
Paranthropus Boisei,2.40486147,Africa,oriental,Ethiopia,forest,476.64681,114.00271,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.32908564111203537,0.6162926606965184,2404861.47,Ethiopia,10.2116702,38.6521203
Paranthropus Aethiopicus,2.68808732,Africa,oriental,Kenya,forest-savanna,582.77811,116.60368,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.4023606241179087,0.6303533678647237,2688087.3200000003,Kenya,1.4419683,38.4313975
Australopithecus Sediba,2.20806236,Africa,south,South Africa,mixed,415.90377,112.03409,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.28714753968743123,0.6056504044054147,2208062.36,South Africa,-28.8166236,24.991639
Paranthropus Boisei,2.46702254,Africa,oriental,Ethiopia,forest,363.85636,106.87998,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.2512130596306551,0.5777875565360743,2467022.54,Ethiopia,10.2116702,38.6521203
Homo Heidelbergensis,0.52465198,Europa,central,Germany,cold forest,1283.41205,165.16661,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.886091060349615,0.892882016007551,524651.98,Germany,51.1638175,10.4478313
Homo Rodhesiensis,0.33427856,Africa,oriental,Ethiopia,savannah,1189.97311,141.29711,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.821579113915464,0.7638447530819983,334278.56,Ethiopia,10.2116702,38.6521203
Homo Antecesor,1.15025499,Europa,west,Spain,savannah,1129.20132,165.47193,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.7796211629670962,0.8945325598864102,1150254.99,Spain,39.3260685,-4.8379791
Australopithecus Anamensis,4.2405483,Africa,oriental,Kenya,forest-gallery,238.36319,118.02861,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.1645702888448155,0.6380564645806377,4240548.300000001,Kenya,1.4419683,38.4313975
Paranthropus Boisei,2.52472573,Africa,oriental,Ethiopia,forest,594.16374,100.98687,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.410221470491798,0.5459297134928934,2524725.73,Ethiopia,10.2116702,38.6521203
"Homo Neanderthalensis
",0.83713383,Europa,central,Germany,cold forest,957.00014,163.59225,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.6607303311569579,0.8843711085625072,837133.83,Germany,51.1638175,10.4478313
Homo Antecesor,1.55035117,Europa,west,Spain,savannah,1069.52257,169.92902,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.7384178667475855,0.9186273542563322,1550351.17,Spain,39.3260685,-4.8379791
Homo Habilis,2.66476668,Africa,oriental,Ethiopia,savannah,799.76507,121.14727,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.5521723743414161,0.6549157766900411,2664766.68,Ethiopia,10.2116702,38.6521203
Homo Georgicus,2.1331892,Asia ,west,Georgia,savannah,762.83682,145.9463,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5266764377874811,0.7889780299592203,2133189.1999999997,Georgia,32.3293809,-83.1137366
Australopithecus Africanus,3.72057595,Africa,south,South Africa,forest-gallery,553.59603,102.78212,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light,0.38221278445066603,0.5556347406726458,3720575.95,South Africa,-28.8166236,24.991639
Homo Rodhesiensis,0.93088345,Africa,oriental,Ethiopia,savannah,1022.44051,147.42164,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.7059115547888937,0.7969536404866542,930883.45,Ethiopia,10.2116702,38.6521203
Paranthropus Boisei,2.52634331,Africa,oriental,Ethiopia,forest,568.71765,119.61569,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.3926530263823231,0.6466361356773882,2526343.31,Ethiopia,10.2116702,38.6521203
Paranthropus Boisei,2.82448237,Africa,oriental,Ethiopia,forest,597.39751,104.85749,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.4124541242121888,0.5668540818552347,2824482.37,Ethiopia,10.2116702,38.6521203
Paranthropus Aethiopicus,2.52990359,Africa,oriental,Kenya,forest-savanna,566.78551,111.70269,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.39131904172685417,0.6038588734167669,2529903.59,Kenya,1.4419683,38.4313975
Homo Naledi,0.64589385,Africa,south,South Africa,jungle,284.151,137.85529,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.1961830270250334,0.7452384549910275,645893.85,South Africa,-28.8166236,24.991639
Australopithecus Africanus,3.83882549,Africa,south,South Africa,forest-gallery,456.12204,109.6948,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light,0.314914965986512,0.5930043255688611,3838825.49,South Africa,-28.8166236,24.991639
Australopithecus Africanus,3.76566932,Africa,south,South Africa,forest-gallery,401.80849,117.02494,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light,0.27741590158949947,0.6326306772922367,3765669.3200000003,South Africa,-28.8166236,24.991639
Australopithecus Anamensis,4.34233862,Africa,oriental,Kenya,forest-gallery,271.02555,114.19054,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.18712097722733526,0.6173080598081592,4342338.619999999,Kenya,1.4419683,38.4313975
Homo Rudolfensis,2.78357213,Africa,oriental,Kenya,savannah,604.28768,133.90712,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.4172112231043872,0.7238948554030687,2783572.13,Kenya,1.4419683,38.4313975
Homo Floresiensis,0.41116117,Asia ,oriental,Indonesia,peninsular,199.11018,105.93655,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.13746929563471275,0.572687423522737,411161.17000000004,Indonesia,-2.4833826,117.8902853
Paranthropus Aethiopicus,2.91638886,Africa,oriental,Kenya,forest-savanna,539.08927,106.51891,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.37219705306444645,0.5758356310862522,2916388.86,Kenya,1.4419683,38.4313975
Australopithecus Bahrelghazali,3.55518532,Africa,central,Republic of Chad,mixed,178.5632,119.9386,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light,0.12328328632057055,0.6483817701720902,3555185.3200000003,Republic of Chad,15.6134137,19.0156172
Australopithecus Bahrelghazali,3.94107746,Africa,central,Republic of Chad,mixed,401.1425,125.17831,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light,0.2769560899605824,0.676707367144111,3941077.46,Republic of Chad,15.6134137,19.0156172
Australopithecus Sediba,1.60475092,Africa,south,South Africa,mixed,405.62936,100.94021,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.2800538998455997,0.545677471984353,1604750.9200000002,South Africa,-28.8166236,24.991639
Paranthropus Robustus,1.93696634,Africa,south,South Africa,jungle,610.51642,128.02528,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.4215116586747421,0.692097937387776,1936966.3399999999,South Africa,-28.8166236,24.991639
Homo Antecesor,0.90620204,Europa,west,Spain,savannah,989.12249,163.29293,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.6829081867976474,0.8827530003684154,906202.04,Spain,39.3260685,-4.8379791
Australopithecus Bahrelghazali,3.25217468,Africa,central,Republic of Chad,mixed,411.82366,127.00273,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light,0.2843305574125312,0.6865700858113071,3252174.68,Republic of Chad,15.6134137,19.0156172
Paranthropus Aethiopicus,2.55820489,Africa,oriental,Kenya,forest-savanna,524.74779,119.25457,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.3622954340012759,0.644683939930193,2558204.8899999997,Kenya,1.4419683,38.4313975
Homo Floresiensis,0.90962712,Asia ,oriental,Indonesia,peninsular,433.90424,94.91545,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.29957539210559375,0.5131079359579028,909627.12,Indonesia,-2.4833826,117.8902853
Homo Rodhesiensis,0.82750467,Africa,oriental,Ethiopia,savannah,1189.5232,147.12083,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.8212684878550637,0.7953274774308452,827504.67,Ethiopia,10.2116702,38.6521203
"Homo Neanderthalensis
",0.34830726,Europa,central,Germany,cold forest,1133.80004,157.86043,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.7827962030339641,0.8533851907853464,348307.26,Germany,51.1638175,10.4478313
hominino Sahelanthropus tchadensis,6.80554966,Africa,central,Republic of Chad,mixed,226.56719,92.62543,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.1564261155468602,0.5007282081527634,6805549.659999999,Republic of Chad,15.6134137,19.0156172
Homo Rodhesiensis,1.13940401,Africa,oriental,Ethiopia,savannah,1070.90866,146.39763,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.7393748485351883,0.791417896226892,1139404.01,Ethiopia,10.2116702,38.6521203
Homo Naledi,0.03688057,Africa,south,South Africa,jungle,461.17465,124.68664,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.31840337997828727,0.6740494249558537,36880.57,South Africa,-28.8166236,24.991639
Australopithecus Africanus,3.36084399,Africa,south,South Africa,forest-gallery,662.4508,108.09604,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light,0.45736810076035267,0.5843615130057636,3360843.9899999998,South Africa,-28.8166236,24.991639
Homo Floresiensis,0.81918669,Asia ,oriental,Indonesia,peninsular,348.16032,90.94022,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.24037622766629108,0.49161805143164355,819186.69,Indonesia,-2.4833826,117.8902853
Homo Rodhesiensis,0.30397505,Africa,oriental,Ethiopia,savannah,1047.13875,158.8525,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.722963669634137,0.8587482690831972,303975.05000000005,Ethiopia,10.2116702,38.6521203
Australopithecus Anamensis,4.00467547,Africa,oriental,Kenya,forest-gallery,342.71235,122.01674,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.23661484992789997,0.6596160858291467,4004675.4699999997,Kenya,1.4419683,38.4313975
Paranthropus Aethiopicus,2.77011412,Africa,oriental,Kenya,forest-savanna,345.74277,112.36603,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.23870710710368748,0.6074448546056915,2770114.12,Kenya,1.4419683,38.4313975
Paranthropus Robustus,2.09181671,Africa,south,South Africa,jungle,395.384,121.24584,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.27298031665299716,0.6554486409312934,2091816.7099999997,South Africa,-28.8166236,24.991639
Homo Heidelbergensis,0.72024294,Europa,central,Germany,cold forest,1368.13567,169.32296,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.9445857910812284,0.9153510257379861,720242.94,Germany,51.1638175,10.4478313
Homo Ergaster,1.57511399,Africa,oriental,Kenya,savannah,963.71825,151.9894,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.6653686366905901,0.8216467110621092,1575113.99,Kenya,1.4419683,38.4313975
Australopithecus Garhi,2.90507385,Africa,oriental,Ethiopia,mixed,310.44072,110.09446,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.21433392865564724,0.5951648665312117,2905073.85,Ethiopia,10.2116702,38.6521203
